ID,Title,Heading,Subheading,Description,Partner,Priority Tier,Available Inventory,Insider Inventory,Paid Inventory,Insider Only,Cover Image URL
1151cc3b-876b-49e4-9b7f-265bcc5147c0,Lovable,1 free year of Lovable Pro,$252 value,"AI-powered app builder. Turn your ideas into apps in seconds, from prototypes to production-ready apps.",Lovable,1,6806,1996,4810,False,https://lenny.nyc3.digitaloceanspaces.com/offers/1151cc3b-876b-49e4-9b7f-265bcc5147c0/cover_20250724_090841_92305fde.jpg
eacbf9de-5474-40f6-82fe-0824a465b7e7,Replit,1 free year of Replit Core,$240 value,"From prototype to production-ready app, code securely using natural language with database, auth, and deployment built in.",Replit,2,6370,1996,4374,False,https://lenny.nyc3.digitaloceanspaces.com/offers/eacbf9de-5474-40f6-82fe-0824a465b7e7/cover_20250724_090738_618343ff.jpg
4a93e4d2-29c4-4d44-adfd-291f4e41b94f,Bolt,1 year free of Bolt Pro,$240 value,"Build stunning apps & websites, just by prompting.",Bolt,3,6448,2000,4448,False,https://lenny.nyc3.digitaloceanspaces.com/offers/4a93e4d2-29c4-4d44-adfd-291f4e41b94f/cover_20250724_090815_fede14ab.jpg
1dd6c81a-729c-4c80-b7b8-9abc3427109e,n8n,1 year free of n8n Cloud Starter,$240 value,"Workflow engine for AI automation. Visually orchestrate AI, humans, code, and APIs.",n8n,4,6806,1998,4808,False,https://lenny.nyc3.digitaloceanspaces.com/offers/1dd6c81a-729c-4c80-b7b8-9abc3427109e/cover_20250724_091134_30772698.jpg
0b3b2ec6-96ca-4e7e-90b3-6372739288ef,Descript,1 year free of Descript Creator,$420 value,Create polished videos in minutes. AI-powered editing that gives you professional results without the learning curve.,Descript,5,6837,1998,4839,False,https://lenny.nyc3.digitaloceanspaces.com/offers/0b3b2ec6-96ca-4e7e-90b3-6372739288ef/cover_20250724_091120_d291d56c.jpg
5ff93b55-3f31-4b57-9774-6bb26ee063f1,Warp,1 year free of Warp Pro,$200+ value,The first Agentic Development Environment featuring the top overall coding agent.,Warp,6,6884,1999,4885,False,https://lenny.nyc3.digitaloceanspaces.com/offers/5ff93b55-3f31-4b57-9774-6bb26ee063f1/cover_20250724_030333_a090e97f.jpg
83f3ecba-7b1b-4945-8dfc-691cbcc9c616,Gamma,1 year free of Gamma Pro,$180 value,"Create AI-powered presentations, websites, and more in minutes.",Gamma,7,9841,4997,4844,False,https://lenny.nyc3.digitaloceanspaces.com/offers/83f3ecba-7b1b-4945-8dfc-691cbcc9c616/cover_20250727_073552_03477b66.png
d8ba6868-3779-4a9f-9bc1-4ec4ca59b821,Wispr Flow,1 year free of Wispr Flow Pro,$180 value,"Effortless voice dictation with zero edits on Mac, Windows, and iOS. Unblock your team and share context as fast as you think.",Wispr Flow,8,6839,1999,4840,False,https://lenny.nyc3.digitaloceanspaces.com/offers/d8ba6868-3779-4a9f-9bc1-4ec4ca59b821/cover_20250724_090859_7c1c42b8.jpg
35029282-12ed-48fe-a742-beca2dbdd012,Magic Patterns,1 year free of Magic Patterns Hobby,$228 value,"AI prototyping tool that helps product teams build interactive designs, get user feedback, and use their existing styles.",Magic Patterns,9,6849,1998,4851,False,https://lenny.nyc3.digitaloceanspaces.com/offers/35029282-12ed-48fe-a742-beca2dbdd012/cover_20250724_091049_802e2cf4.jpg
8095fa71-6389-4f2a-883a-a7ef6af78b9b,Granola,1 free year of Granola Business,"$5,000+ value",The AI notepad for people in back-to-back meetings.,Granola,10,6457,1999,4458,False,https://lenny.nyc3.digitaloceanspaces.com/offers/8095fa71-6389-4f2a-883a-a7ef6af78b9b/cover_20250724_090948_907ecb1e.jpg
